,FileAddress,corresponding_img,SpatRx,SpatRy,SpatRz,Ghosting,tSNR (Averaged Brain ROI),Displacement factor (std of Mutual information)
23,/project/4180000.36/awake/bids/mouse_complete/sub-0100700/ses-1/func/sub-0100700_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100700_ses-1_run-1_task-rest_bold_24.png,0.3,0.5,0.3,False,22.50687965356719,0.022256936069642175
24,/project/4180000.36/awake/bids/mouse_complete/sub-0100701/ses-1/func/sub-0100701_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100701_ses-1_run-1_task-rest_bold_25.png,0.3,0.5,0.3,False,22.684061186349794,0.011488757521264725
25,/project/4180000.36/awake/bids/mouse_complete/sub-0100702/ses-1/func/sub-0100702_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100702_ses-1_run-1_task-rest_bold_26.png,0.3,0.5,0.3,False,21.972153547652937,0.016924213627352698
26,/project/4180000.36/awake/bids/mouse_complete/sub-0100703/ses-1/func/sub-0100703_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100703_ses-1_run-1_task-rest_bold_27.png,0.3,0.5,0.3,False,21.59146703492282,0.013143198227329246
27,/project/4180000.36/awake/bids/mouse_complete/sub-0100704/ses-1/func/sub-0100704_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100704_ses-1_run-1_task-rest_bold_28.png,0.3,0.5,0.3,False,21.528375683318895,0.019461778025740686
28,/project/4180000.36/awake/bids/mouse_complete/sub-0100705/ses-1/func/sub-0100705_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100705_ses-1_run-1_task-rest_bold_29.png,0.3,0.5,0.3,False,21.4413038453725,0.022833473220235188
29,/project/4180000.36/awake/bids/mouse_complete/sub-0100706/ses-1/func/sub-0100706_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0100706_ses-1_run-1_task-rest_bold_30.png,0.3,0.5,0.3,False,22.50687965356719,0.022256936069642175
30,/project/4180000.36/awake/bids/mouse_complete/sub-0101110/ses-1/func/sub-0101110_ses-1_run-2_task-rest_bold.nii.gz,func_func_sub-0101110_ses-1_run-2_task-rest_bold_31.png,0.15624999,0.5,0.15625,False,17.25650122039188,0.06349696475461965
31,/project/4180000.36/awake/bids/mouse_complete/sub-0101110/ses-1/func/sub-0101110_ses-1_run-3_task-rest_bold.nii.gz,func_func_sub-0101110_ses-1_run-3_task-rest_bold_32.png,0.15624999,0.5,0.15625,False,19.02865634573713,0.013882472967626902
32,/project/4180000.36/awake/bids/mouse_complete/sub-0101110/ses-1/func/sub-0101110_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0101110_ses-1_run-1_task-rest_bold_33.png,0.15624999,0.5,0.15625,False,18.529869005067457,0.026325295773191627
33,/project/4180000.36/awake/bids/mouse_complete/sub-0101111/ses-1/func/sub-0101111_ses-1_run-2_task-rest_bold.nii.gz,func_func_sub-0101111_ses-1_run-2_task-rest_bold_34.png,0.15625,0.5,0.15625,False,16.628891334170646,0.07313708261879204
34,/project/4180000.36/awake/bids/mouse_complete/sub-0101111/ses-1/func/sub-0101111_ses-1_run-3_task-rest_bold.nii.gz,func_func_sub-0101111_ses-1_run-3_task-rest_bold_35.png,0.15625,0.5,0.15625,False,18.313433630539706,0.02324004377012804
35,/project/4180000.36/awake/bids/mouse_complete/sub-0101111/ses-1/func/sub-0101111_ses-1_run-1_task-rest_bold.nii.gz,func_func_sub-0101111_ses-1_run-1_task-rest_bold_36.png,0.15625,0.5,0.15625,False,18.895572668806903,0.014048780984364765
36,/project/4180000.36/awake/bids/mouse_complete/sub-0101112/ses-1/func/sub-0101112_ses-1_run-2_task-rest_bold.nii.gz,func_func_sub-0101112_ses-1_run-2_task-rest_bold_37.png,0.15625,0.5,0.15625,False,18.245598855791552,0.011661376656320357
37,/project/4180000.36/awake/bids/mouse_complete/sub-0101112/ses-1/func/sub-0101112_ses-1_run-3_task-rest_bold.nii.gz,func_func_sub-0101112_ses-1_run-3_task-rest_bold_38.png,0.15625,0.5,0.15625,False,18.22202279654764,0.011495873535986521
